"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30"
"225",-3.7129,178.28,-167.55,-96.837,-42.059,56.993,-64.648,66.551,44.363,93.443,-76.367,-72.937,2.7868,-15.431,-62.057,5.4396,-36.075,15.484,34.103,21.441,4.8068,-28.869,10.66,12.621,-8.0938,-9.5737,5.6365,2.7922,-30.072,23.987
"226",-78.674,201.84,-131.5,-109.42,0.24973,29.08,-27.116,109.18,45.813,80.278,-52.536,-66.466,39.98,36.143,-51.65,16.886,25.752,-29.019,42.252,3.0371,3.436,-11.561,37.422,20.201,-1.6201,-10.858,-20.422,12.608,-2.5843,4.0165
"227",-166.08,-52.944,-15.199,-44.741,72.168,-49.173,9.226,27.087,6.5941,56.785,-14.221,12.37,40.642,34.203,6.0829,-31.423,-53.164,0.0075482,3.9957,-6.4664,-66.701,1.3562,9.1865,18.451,28.38,-8.6214,2.2984,26.544,-8.2098,9.5115
"228",-180.77,-10.427,51.846,-17.291,2.8228,-0.62143,-20.124,46.839,4.1862,85.141,-3.4676,4.8204,1.6191,48.678,-60.09,5.1958,-5.8939,-20.781,22.088,0.040537,-40.177,-34.477,9.1367,27.809,-12.068,-31.153,11.853,-4.8827,7.9995,8.7773
"229",-10.337,160.63,-130.39,-114.47,6.4302,-17.99,-12.947,118.58,-14.044,99.741,51.532,-56.52,20.1,-99.145,-11.045,-10.326,-19.304,-12.054,39.717,30.491,45.45,20.119,-12.305,-0.56437,21.115,-32.475,5.6345,49.155,-27.128,32.494
"230",-97.728,-76.345,-35.328,-82.569,49.237,-60.889,19.218,9.2014,8.3915,30.729,-20.37,-17.601,37.773,19.825,-12.497,-26.499,-28.648,15.682,15.028,-0.99998,-45.011,5.7217,7.0373,8.6366,18.865,3.2393,-5.5383,8.6509,18.07,9.8616
"231",-50.12,183.87,38.961,164.76,61.682,-202.76,-73.224,-49.901,69.334,26.446,-27.011,-19.001,5.0017,65.232,-16.593,-40.491,-57.063,21.451,28.971,10.563,8.6627,43.423,-44.653,7.1473,-4.8385,-23.266,-1.8211,5.9688,-64.257,-4.3265
"233",-108.83,-66.222,-39.308,-40.847,71.457,-56.446,31.628,16.845,6.0474,43.483,-41.067,-22.691,33.159,32.024,16.709,-42.143,-4.3054,16.969,1.3355,18.56,-9.5158,20.248,31.285,4.7123,19.357,-12.599,-4.9836,-18.25,-29.732,0.34905
"234",-74.862,-63.698,-59.304,-76.547,3.8986,-22.421,33.129,-47.723,29.104,18.816,28.455,-7.2029,-32.542,-17.468,-14.335,7.6922,-10.361,16.625,7.631,5.472,-1.4245,3.8012,39.58,30.576,7.4826,-26.763,-11.953,5.4042,-18.881,3.6115
"235",-99.407,259.98,-18.207,-50.316,25.248,-80.548,45.861,5.4419,-22.169,42.409,36.266,1.0776,0.18929,44.841,-8.3373,13.387,-20.193,69.415,-6.1339,82.349,-22.178,-29.252,-30.062,93.163,-4.1577,-39.32,17.939,-6.7863,12.601,24.44
"236",-156.5,227.93,-26.982,-30.725,2.8093,-49.987,-0.24619,0.041351,-64.346,38.724,-6.7063,11.193,40.543,70.023,-0.25886,-15.796,-11.583,83.739,-43.818,81.313,19.603,-58.979,13.108,36.87,37.73,-41.975,13.554,14.636,50.112,35.57
"239",-177.57,14.535,-67.133,111.46,115.36,32.461,30.947,46.802,28.698,-15.914,-29.339,-74.442,84.858,-65.422,68.088,-9.3951,-6.0569,8.5157,40.145,-23.347,-77.306,-49.52,96.071,18.939,-34.612,-152.57,-32.848,1.6674,-3.421,-34.802
"240",-105.64,211.36,-142.87,-74.83,-6.9198,-12.034,-41.499,35.73,105.69,23.939,-22.651,33.52,52.309,34.512,-44.953,9.5694,-31.558,46.696,-25.141,-33.732,41.765,-1.5013,27.625,22.099,42.159,-74.895,-13.543,66.941,-31.788,13.917
"242",-135.15,-78.635,-35.805,-41.494,72.295,-4.8016,8.544,10.465,-37.386,80.708,-10.965,-2.2158,41.173,33.825,4.1024,-24.373,-27.626,4.0801,49.64,-10.864,1.9882,3.7587,15.106,19.685,16.078,-14.128,-3.4554,1.3428,3.5037,28.752
"243",-2.1161,124.65,-61.482,-31.647,33.128,-108.36,-20.858,57.206,-32.183,22.779,57.939,-65.39,-23.166,-91.024,-47.668,-4.7558,-127.15,66.896,44.842,53.601,29.434,-3.054,22.739,-19.254,-31.149,-0.62556,-23.187,27.036,10.044,45.795
