"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30"
"290",60.027,7.4472,13.48,18.531,15.94,0.20543,-33.782,8.6868,-5.0636,0.46119,-12.693,15.2,16.803,13.919,-2.5294,19.999,-19.859,12.694,0.16263,13.265,-12.847,-18.288,13.257,20.642,35.65,-12.008,-20.095,1.8529,-0.38052,12.847
"299",49.219,20.556,7.1047,17.339,25.528,15.479,-20.308,10.309,-6.18,10.881,-14.252,5.7707,15.755,17.723,-6.7687,-8.7135,-9.63,10.036,35.439,16.243,-9.9164,-3.0248,12.055,30.335,11.951,-15.898,-3.4075,-6.3048,-1.4031,13.256
"300",59.345,20.141,7.8916,-5.7099,10.314,14.505,-10.3,14.284,-0.42681,-1.3551,-0.51264,3.5355,3.3235,-0.59496,-13.741,-5.6969,-10.712,9.7117,-1.2421,19.86,-12.584,-18.051,11.373,25.711,24.71,-12.443,-12.032,-10.583,-0.52009,11.315
"303",50.374,8.7774,19.127,16.95,11.541,4.145,-34.42,3.4531,-20.317,-2.6935,-12.725,0.55598,14.68,14.487,-4.799,-8.6695,-1.4519,-0.074778,7.2897,21.967,-4.336,-17.095,11.093,23.629,27.141,-16.794,-15.053,2.7282,-4.0547,5.4786
"305",54.063,18.887,3.2839,12.493,19.725,23.523,-8.8215,5.9003,4.3355,9.1565,-3.4727,-7.1488,-7.114,14.675,-7.0399,-4.0291,2.7434,18.285,19.664,25.638,-13.091,-19.775,20.55,24.251,17.838,-29.595,2.0817,0.87636,-10.677,17.03
"311",-19.404,-24.61,16.228,-1.1082,48.008,8.2744,-12.168,47.395,-32.189,51.33,-2.5484,27.239,39.565,26.219,12.417,-7.0499,-14.427,2.655,9.0408,11.907,8.1756,-9.5011,21.707,18.069,-3.0224,-16.253,-18.755,4.3217,-8.0256,16.114
"312",-5.9519,8.6872,35.622,-36.317,21.366,17.257,-10.522,49.611,-16.64,33.629,13.217,14.46,0.79805,19.728,8.4445,-12.935,5.5001,17.603,-8.1439,16.951,4.0601,-9.982,13.747,9.2619,5.5942,-26.314,6.728,3.072,-3.5037,9.6526
"325",-153.85,-80.294,-16.734,-73.096,-5.0895,-16.937,-33.829,-9.9528,0.2112,40.646,14.072,6.8715,0.89526,13.308,1.7958,22.754,-10.127,18.874,-2.0098,-0.69615,0.37829,-6.3935,4.0494,2.7688,14,-32.801,-11.707,37.922,-8.6517,19.689
"328",-45.035,-17.83,-19.077,1.447,37.714,1.0506,-14.827,29.772,-20.147,46.095,4.7795,24.73,-1.7892,28.222,2.1018,6.6462,-10.879,23.526,-12.82,9.148,-9.7675,-11.776,37.542,17.628,-7.7772,-27.761,-5.4177,15.32,-1.1,18.704
"331",-42.405,-24.868,-0.094759,1.4968,49.799,9.5635,-2.2787,59.005,-31.782,61.077,-4.052,41.704,17.976,22.091,9.5756,-2.2098,-5.4713,14.675,-5.8391,23.964,-0.27593,-6.4141,34.225,32.086,0.25606,-18.036,0.13065,5.5157,-6.2749,23.299
"341",-39.209,-56.637,-43.247,13.169,82.749,5.9024,33.168,19.661,-38.274,69.929,-36.369,4.5483,38.354,43.499,3.5133,-18.706,-13.795,1.7874,27.314,28.923,20.121,-14.544,19.746,19.646,2.8729,-29.317,-16.579,8.7371,-20.429,17.292
"348",-16.251,-15.14,9.129,-20.902,45.059,14.456,9.6749,18.525,-13.081,41.555,2.944,8.9874,10.139,21.378,2.9435,6.1435,-21.166,32.761,28.087,10.909,11.441,-1.7412,21.709,28.788,-8.4187,-19.926,-6.4617,-13.34,-5.6286,8.5908
"352",-18.886,-43.38,10.871,-31.54,64.475,0.6641,22.986,17.709,-20.738,41.313,-9.3577,-13.541,39.12,23.104,15.342,-13.063,0.65361,19.761,23.888,9.9296,22.55,0.32337,6.803,35.044,2.6574,-30.357,-24.322,0.45281,-27.841,8.2702
"354",-13.723,24.959,32.537,-36.477,2.7308,20.569,-17.02,2.4077,28.689,14.812,27.587,-1.7608,-10.997,11.516,10.743,-26.563,-1.6935,12.435,0.61801,18.024,-19.529,-14.484,10.545,28.667,13.918,-38.241,-1.1104,-5.5598,-10.589,12.641
"357",26.278,-21.022,15.104,-41.576,31.468,29.255,11.951,14.075,-11.2,19.233,-10.735,-11.666,7.7013,15.526,3.8025,-8.403,-14.334,23.091,25.385,5.7122,13.249,-2.9844,23.209,17.759,-13.45,-12.4,3.5642,-4.1571,3.4422,10.118
"367",64.339,27.204,17.002,20.827,17.789,24.871,-38.129,13.116,-15.575,0.19352,-5.0365,1.7736,0.71776,18.647,5.7201,7.6653,-15.359,18.232,-4.7247,19.733,-17.202,-12.017,22.548,32.817,28.344,-12.666,-11.64,1.6327,-6.726,15.243
