"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30"
"237",-151.4,44.548,-123.6,-114.03,81.757,117.18,-92.429,-12.483,-122.96,-4.995,38.749,70.835,111.44,-70.368,12.473,80.529,9.654,53.36,-32.03,13.52,88.745,3.618,-29.279,31.429,-31.5,47.267,19.372,46.044,-0.91012,38.734
"238",-229.28,14.444,36.088,46.466,-17.439,-16.96,-38.442,-9.1221,-41.406,52.572,29.115,19.98,-0.67292,-37.202,32.33,44.559,-8.6364,-10.016,17.499,25.917,-10.489,-26.533,0.30391,-0.22398,16.684,-4.2237,-34.595,-1.4569,-24.53,-4.1174
"241",-12.298,56.576,-20.95,-177.27,-33.23,52.718,-57.672,-18.588,-27.498,28.085,4.3091,-14.898,-55.357,-52.844,-36.604,28.211,-19.206,-27.974,-17.869,23.826,-0.75463,-40.375,-16.086,0.019859,-15.561,6.6764,-7.5636,-10.855,19.095,-6.6227
"253",-195.29,-2.4401,72.326,-10.837,-55.348,-33.702,-12.859,1.4795,-56.314,8.1474,12.351,-9.6526,71.129,-7.3823,29.074,51.93,20.25,24.193,-12.974,-54.213,47.012,-45.15,-1.2864,25.351,31.312,12.697,-37.13,-0.14029,44.998,45.736
"256",-129.1,35.465,-71.028,-5.5026,-4.1834,225.31,51.929,20.742,-137.29,-0.73985,-19.627,1.1126,-12.338,117.15,-119.96,5.3535,30.057,-30.477,28.004,49.542,-12.108,4.1599,17.814,9.3642,-15.079,70.499,-20.732,5.7676,-22.5,8.2591
"257",74.058,-88.751,-251.82,59.627,54.308,-78.065,5.3111,-47.337,-133.17,26.695,2.1407,-50.398,-20.743,-6.3834,-2.2754,14.354,-20.711,-2.1971,-19.266,-25.663,-8.582,-37.809,-24.162,-28.592,25.148,-29.947,20.352,-31.784,-7.1938,-34.168
"259",-232.56,11.67,48.019,28.135,-28.341,3.3127,-28.703,-9.3404,-23.74,54.383,27.786,29.973,-20.921,-9.166,17.666,12.63,-20.157,-6.8328,2.7654,25.586,-9.4221,6.1725,6.1152,10.684,-11.218,11.314,-32.264,-5.2268,-8.4098,-9.9791
"261",-242.56,99.603,-71.721,-55.819,61.184,-55.368,4.9922,-0.66226,-30.631,-23.554,15.208,0.49847,73.178,-3.8625,-47.382,-58.877,11.398,11.471,40.116,28.572,-15.126,40.585,37.544,34.842,-8.3316,-12.96,-29.844,12.029,-31.271,12.159
"264",-52.517,-0.4672,54.143,-97.15,56.745,46.347,6.5866,45.943,63.123,33.077,-3.7699,71.904,-4.4074,14.697,-4.2951,-35.601,-7.5629,24.614,12.456,4.832,37.79,-24.037,-9.9608,-1.662,7.3325,-6.8695,-3.1641,-18.499,13.932,-16.772
"265",-101.97,-30.239,51.741,-75.758,23.458,133.18,12.652,18.52,-4.4711,29.577,21.127,23.616,24.613,-26.61,54.338,2.7814,-23.509,11.035,4.5673,5.7984,20.981,-23.197,8.859,4.27,3.3859,-32.161,2.3034,6.8687,-10.551,-7.0668
