"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30"
"346",10.818,70.032,-64.123,10.938,-4.6619,16.863,-6.6699,-16.565,2.1503,13.037,12.494,2.2381,-16.455,-7.2881,-4.6903,33.5,0.88626,-2.1102,4.1387,9.0801,24.035,9.0754,-0.55821,-6.4452,-6.953,-1.5771,-2.2041,-5.6306,-2.4051,17.385
"347",95.871,-13.379,-65.243,47.434,-9.7179,-10.625,9.8316,-52.77,25.208,35.406,1.2572,-3.8567,-21.236,16.049,-29.543,26.39,21.466,-7.654,8.1982,-7.6566,11.682,1.7588,-49.178,-10.657,-14.617,-3.3973,-15.691,-10.488,-5.2835,-17.188
"348",-39.78,76.885,-51.103,30.535,-4.8542,-1.8304,30.616,-61.702,10.101,27.221,-10.823,0.76141,-10.434,0.19149,-5.968,16.003,-0.72077,-17.914,21.508,-8.9362,21.541,7.1395,-2.4804,-4.8811,6.1191,5.8577,3.9415,5.9645,-2.1954,-0.021951
"349",-29.975,92.667,-69.193,42.525,1.2865,-15.711,33.594,-43.533,5.8697,32.712,1.8361,9.6424,-3.4675,-1.6798,1.755,6.3227,2.5111,-19.409,18.089,-0.96502,28.354,7.331,-4.3323,-4.1918,-9.5668,-2.0971,0.041952,3.9407,14.088,-0.78099
"350",121.85,-39.45,-56.638,21.641,-20.496,-21.236,29.549,-53.606,36.206,24.663,-4.3078,3.7132,-2.0046,22.087,-5.3533,21.411,-1.836,-14.712,6.505,18.356,41.51,6.4751,0.65437,1.4101,-5.9521,0.094937,-11.713,-1.3415,3.58,4.6361
"351",101.08,-21.264,-56.07,29.411,-14.222,1.2046,2.9406,-50.178,10.913,44.205,-2.1843,-25.423,-9.6211,28.072,-6.9176,41.739,8.8096,10.941,-2.8746,-9.8263,38.149,7.259,-5.8822,-5.4696,-13.296,-5.4269,-3.4446,-4.6559,0.17041,1.6634
"352",-27.91,90.467,-61.51,28.99,-10.402,5.7515,21.197,-42.876,15.108,12.812,-15.277,-1.2927,10.58,6.1809,-4.1476,8.0064,-0.81396,-21.111,19.866,13.088,30.137,-8.9141,-1.3672,-2.4624,-5.5597,-3.5655,-8.9134,4.8225,6.8725,-6.79
"353",15.95,67.663,-85.719,3.7972,13.79,-9.6748,-5.4307,-16.15,-11.137,3.6023,6.537,1.9373,-7.437,2.5367,-6.0981,23.678,-1.084,-20.946,16.895,28.214,15.496,-2.939,11.906,-10.042,8.5154,-17.846,-3.9218,-6.3729,10.187,-2.9664
"354",-46.308,54.466,-100.07,35.011,-5.3601,-12.679,-3.8409,-45.697,23.895,9.824,11.901,-12.779,-13.928,-5.7778,-16.801,12.426,-6.0146,-24.955,21.911,22.04,32.744,14.722,-19.666,4.6755,-8.8518,-14.819,-21.724,13.898,0.7519,-14.565
"355",8.3707,65.936,-80.753,16.248,9.1655,-2.3923,9.2599,-40.46,1.6487,20.568,-1.1023,-5.8154,12.575,-1.6739,-1.2247,15.945,11.629,-9.7972,5.6854,16.475,16.658,3.31,6.6608,-7.1213,7.7767,-7.3736,-2.7768,0.93198,6.6683,3.4945
"357",19.909,80.147,-100.69,17.46,-2.2509,24.302,22.76,-22.898,5.8205,13.881,9.9273,8.6532,5.9808,1.6519,22.946,7.8477,1.5307,-8.7888,17.545,18.755,14.683,5.5455,-5.6309,-11.249,-7.7252,-10.589,8.3713,0.85276,13.051,-5.7656
"358",100.64,1.9637,-51.85,30.295,-41.208,-23.403,-0.12587,-48.501,5.1969,38.951,21.994,-0.5378,-29.177,28.223,-15.461,19.296,22.479,-6.5771,0.47722,7.5082,36.004,9.0118,7.2274,-1.8793,-13.505,-20.603,4.1232,-0.27413,6.0419,-10.617
"359",107.32,-21.031,-68.617,32.557,-18.381,-3.5854,22.217,-41.691,25.34,44.501,-3.7651,-4.6926,-10.16,24.138,-19.69,27.811,-6.0756,-16.007,-4.0655,4.9669,22.974,1.5628,9.3986,11.735,-10.824,-9.0798,-5.3309,-3.6637,15.113,-12.251
"360",2.3679,59.283,-79.224,15.129,5.9426,-12.463,13.781,-24.54,-0.87989,13.545,-6.2937,-0.13141,19.675,3.4059,6.8238,13.252,-2.551,-14.054,2.3435,11.311,22.755,5.2448,-2.8923,5.4773,6.0396,-7.6983,-9.216,5.9188,11.434,6.2088
"361",-24.899,95.184,-83.84,25.044,-24.752,21.827,33.244,-51.967,15.383,22.952,0.88086,8.8572,0.1043,5.3859,16.147,11.78,-12.53,-17.538,10.672,3.5367,21.218,0.094673,3.7378,-17.891,-2.7215,2.9707,7.8953,11.113,0.080296,-15.149
"362",-53.349,83.231,-84.183,40.935,-17.512,-17.95,40.658,-65.162,10.353,35.506,8.7934,7.6924,-5.1737,4.254,-15.026,12.892,3.8181,-16.463,8.9561,6.7347,27.515,-10.76,4.2603,7.2509,-0.39638,0.25523,-2.6543,10.426,-2.005,-18.551
"363",-13.241,71.201,-70.08,25.615,-9.217,-6.9161,6.1392,-40.625,7.3427,7.2805,-2.3738,2.568,0.16813,-1.6183,-1.8034,10.138,2.0367,-23.517,18.309,11.251,23.508,6.9336,3.4964,-3.9516,-3.1244,-3.1117,-10.452,-2.3541,4.1286,4.6745
"364",-40.089,75.142,-74.935,48.193,-15.385,6.1531,24.02,-37.711,13.858,29.827,-4.9351,-6.8002,-3.9601,5.5952,-5.4151,-3.5118,-6.3161,-15.244,12.728,-1.0936,25.177,3.3524,-2.0237,11.742,-8.3689,-3.9814,-1.5274,4.6328,11.05,-4.47
"365",-47.472,78.086,-74.708,53.791,-17.461,19.28,45.177,-41.271,3.0781,28.697,-0.17352,-2.9406,-1.7942,0.31203,-20.732,15.899,-2.8634,-7.6842,8.288,2.8028,22.395,-10.24,3.2739,13.409,0.29677,4.9613,1.1366,3.3021,2.1944,-6.3576
"366",12.888,80.465,-90.557,17.119,-1.3579,-10.572,6.7583,-28.986,-2.0812,9.1964,3.5081,1.3424,-5.9909,-2.4024,-5.9299,10.079,13.807,-21.511,1.0728,9.4117,3.9027,-2.6988,4.7199,-3.1854,2.4922,-1.393,2.0178,-3.0343,3.5211,8.8979
"367",116.43,-20.679,-47.768,22.072,-26.28,-17.261,-3.3199,-42.463,24.894,53.634,0.83107,0.88453,-17.306,14.978,-23.472,20.635,16.102,-16.959,-9.2496,11.068,20.508,-15.126,14.466,5.802,-10.981,-25.797,0.55013,-6.6634,12.983,-6.9751
"369",-45.166,79.822,-75.558,45.534,-10.021,4.9626,40.006,-47.272,7.6133,40.244,3.3749,0.46993,-9.1128,3.9762,0.61932,7.7901,11.132,-14.557,13.278,-11.644,15.751,3.038,-6.1468,1.252,0.19229,-5.2064,3.9855,2.481,1.6868,-2.5834
"371",-13.291,70.066,-90.439,31.214,-7.5546,7.2579,25.172,-17.942,8.3152,15.467,-7.6964,-17.417,-3.9594,-0.66775,-3.0727,16.529,-2.5785,-8.5996,5.4058,-10.271,17.004,5.7817,-15.166,-4.4051,1.3025,-1.3957,4.8243,-9.3176,14.275,1.2785
"372",-10.635,74.984,-76.196,41.006,-6.4189,6.4011,20.439,-18.456,6.619,20.105,-4.262,0.95676,7.8334,0.86215,-11.067,11.897,-3.7624,-5.5166,10.973,4.0464,15.905,6.1518,-5.9618,4.7517,-14.306,-5.6728,-11.353,9.2185,11.723,1.2348
"374",-33.767,95.237,-68.868,44.432,-15.642,7.303,34.579,-42.461,12.457,33.806,7.7512,7.7587,8.3815,-0.82875,-15.942,9.7272,1.3793,-8.1997,17.095,6.1767,17.82,3.587,8.1097,11.192,-13.459,-7.5389,-5.6665,5.2536,6.6825,-11.889
"375",-57.906,80.949,-63.757,44.199,-10.598,-9.4123,33.224,-50.93,3.1969,32.846,-0.88189,16.659,1.1203,2.3945,-12.562,1.7218,4.5171,-17.806,5.8328,0.58175,31.442,-2.3753,5.5738,12.869,-6.3333,-5.225,3.7537,7.2908,12.82,-2.6536
"376",112.24,-62.935,105.5,11.944,-41.765,-22.041,15.018,-53.024,-23.966,-17.395,-20.434,-72.463,6.7321,10.66,2.8531,33.639,17.534,26.306,9.3022,-4.1812,47.169,45.085,-25.345,6.9141,24,-13.046,-37.17,15.325,18.292,20.572
"377",13.675,19.684,-85.502,-24.319,-16.12,4.1428,-16.6,1.3661,-23.847,7.6062,-1.6144,22.322,-68.423,14.791,-23.054,-6.5785,7.4448,-14.299,29.594,-36.295,34.224,29.89,-7.7142,14.97,4.6082,-11.172,44.978,-0.4871,-32.104,15.805
"378",100.81,-19.077,-64.221,35.047,-21.268,-5.3561,6.1246,-45.431,13.434,37.037,12.366,-2.5807,-12.199,30.253,-25.168,25.312,14.546,8.2194,-1.0753,2.8643,28.771,0.77789,6.015,-3.539,-18.509,-3.307,-9.4651,-0.42324,6.1621,-19.28
"379",8.5199,84.199,-92.31,31.654,-13.432,33.125,45.834,-10.479,21.463,23.944,4.5477,6.2796,13.239,13.639,6.552,16.214,-9.0508,-0.74197,10.317,15.039,24.929,3.5945,-11.05,-5.2832,-8.9227,3.8851,-5.2716,10.352,3.8175,-13.593
"380",11.131,80.772,-82.372,16.857,-3.7791,4.3579,-6.6523,-31.513,8.0748,-0.78803,-5.6977,2.1312,1.1547,-2.4495,-4.5896,20.263,-9.2965,-21.255,19.611,11.739,17.605,3.4285,-9.7508,-2.8753,-5.1562,-15.148,-12.011,1.685,6.2319,2.3643
"381",123.7,-33.757,-73.486,33.676,-4.4266,-3.6649,30.094,-40.998,16.05,29.657,-12.312,8.9494,-13.045,25.237,-24.322,14.707,-0.18977,-20.275,4.8116,-4.096,18.836,-0.81742,9.1987,5.7428,-15.535,-14.494,3.7053,-10.176,10.31,-4.1568
"382",-34.769,77.114,-60.616,43.168,-5.5548,-1.7955,36.424,-34.184,-4.6314,47.753,-3.467,13.534,-1.7265,7.4372,-6.7956,3.7257,-1.0008,-2.93,1.9586,2.5672,18.345,-11.284,17.477,19.05,-8.4535,-1.9434,-9.1534,10.453,6.3986,-5.3261
"383",-105.75,-53.369,44.551,-19.56,12.641,-5.3927,-54.702,-53.986,-43.897,3.2845,-58.18,-13.3,-30.064,-23.249,26.33,16.819,31.797,-4.5609,23.617,-37.922,-7.3545,-8.2155,0.16138,-4.5317,9.8785,-3.8251,15.511,-12.358,11.726,18
"384",-158.74,20.641,74.871,24.076,-19.323,-47.45,-39.723,-109.49,-36.376,20.675,-15.579,-32.854,-44.497,15.922,72.181,16.644,-16.788,-22.511,8.9689,-18.767,17.144,14.888,-4.758,-6.7199,-2.3391,-29.679,0.88786,2.185,-5.453,-16.778
"385",137.49,-109.87,41.511,20.006,-16.538,23.893,8.1441,-25.692,-0.82419,14.27,5.5765,24.144,22.251,3.0453,5.5797,-14.905,-2.9558,5.0351,25.451,-16.219,13.059,-18.925,-12.184,-10.914,-9.9476,-1.8799,5.4792,-5.8004,1.5843,-2.0746
"386",115.18,-92.391,17.726,19.593,-21.473,0.57647,5.4063,-38,-7.3514,18.895,3.0033,-9.7119,12.415,22.145,0.47375,-10.804,14.199,34.428,17.923,-25.709,-0.068311,-16.308,-26.86,-9.506,-17.192,0.77429,-2.3372,-2.5611,-19.283,-11.608
"387",126.31,-89.02,37.812,5.4591,-10.469,11.887,9.2363,-39.494,-2.1283,15.388,5.3496,4.605,2.4015,0.041155,2.2026,2.4057,33.891,7.5923,20.561,-5.057,7.1871,-17.16,-5.0852,-5.7531,-16.431,6.878,2.0598,16.778,2.9393,15.582
"388",133.36,-95.272,65.009,13.875,-28.283,5.8572,-1.4482,-41.801,-10.06,17.564,-15.386,-3.424,23.847,18.638,10.837,24.323,23.539,34.027,3.021,-9.1888,38.978,16.717,-5.0934,17.915,-13.39,5.6282,-1.8726,1.1455,1.453,2.2327
"390",133.89,-76.412,85.238,15.302,-26.928,7.4424,-4.7889,-30.472,-1.3299,19.535,18.235,10.06,-6.5953,15.196,-3.0094,26.69,30.849,2.1052,1.993,16.77,35.991,-11.044,-19.095,7.4627,-2.4606,3.6613,14.769,-11.002,25.882,7.2851
"391",-123.5,53.209,91.787,-3.5687,-11.163,-53.912,-41.418,-107.76,-12.995,31.819,-16.855,-29.314,-29.882,9.3809,39.542,11.46,2.9664,-26.263,-4.6411,16.53,17.096,13.61,8.1745,7.5857,-16.002,3.4359,-5.3096,1.6788,7.3509,-18.97
